,小区,朝向,行政区,街区,房屋面积,卧室,客厅,厕所,楼层相对位置,楼层,发布时长,每月租金
0,三兴小区,北,静安,不夜城,31.45,1,1,1,低楼层,7,1,4400.0
1,永和丽园,南,静安,阳城,106.71,2,2,1,低楼层,6,1,7200.0
2,海联公寓,北,静安,西藏北路,39.05,1,1,1,低楼层,26,1,5000.0
3,四和花园,南,静安,曹家渡,33.16,1,1,1,中楼层,6,1,5400.0
4,宁和小区,南,静安,大宁,45.49,1,1,1,高楼层,6,1,4500.0
5,又一村(静安),南,静安,江宁路,30.73,1,1,1,中楼层,7,1,6000.0
6,龙盛佳苑,南,静安,阳城,59.85,2,1,1,中楼层,15,1,6000.0
7,阳城贵都,南,静安,阳城,85.0,2,2,1,低楼层,12,1,7500.0
8,临汾路1564弄,南,静安,彭浦,57.95,2,1,1,高楼层,6,1,5200.0
9,幸福第一公寓,西,静安,永和,78.4,2,1,1,低楼层,15,1,5300.0
10,星纪花苑,南,静安,彭浦,77.0,2,1,1,中楼层,15,1,5400.0
11,蓝朝部落,西南,静安,曹家渡,34.0,1,1,1,高楼层,31,1,4300.0
12,幸福第一公寓,南,静安,永和,41.3,1,0,1,低楼层,6,1,4700.0
13,静安府西区,南,静安,大宁,115.0,3,2,1,高楼层,31,1,18000.0
14,永和三村,南,静安,永和,60.94,2,2,1,高楼层,6,1,5000.0
15,慧芝湖花园（一二期）,南,静安,大宁,89.02,2,2,1,高楼层,18,1,11000.0
16,彭新小区,南,静安,彭浦,32.49,1,0,1,中楼层,6,1,4000.0
17,广茂苑,南/北,静安,大宁,71.51,2,2,1,低楼层,6,1,7200.0
18,彭五小区,南,静安,彭浦,31.32,1,0,1,中楼层,5,1,2700.0
19,柳营路319弄,南,静安,闸北公园,33.48,1,1,1,高楼层,6,1,5500.0
20,金泉苑(闸北),南,静安,彭浦,73.36,2,1,1,中楼层,6,1,5600.0
21,国际丽都城,南,静安,南京西路,128.0,2,2,2,低楼层,27,2,22000.0
22,绿地海悦,东,静安,西藏北路,42.78,1,1,1,低楼层,29,1,5400.0
23,艾格美国际公寓,南,静安,南京西路,67.45,1,2,1,中楼层,33,1,17500.0
24,北市场小区,南,静安,西藏北路,36.51,1,1,1,高楼层,7,2,5000.0
25,精文城上城,南/北,静安,西藏北路,107.7,2,1,1,高楼层,30,2,10000.0
26,和源馨苑,南,静安,西藏北路,67.98,1,2,1,低楼层,31,2,6500.0
27,龙潭小区,南,静安,阳城,41.01,1,1,1,中楼层,6,2,5200.0
28,静安城,西南,静安,曹家渡,88.85,2,1,1,低楼层,27,2,9000.0
29,闻喜小区,南,静安,彭浦,44.97,1,1,1,中楼层,6,2,4300.0
30,赵家桥小区,西南,静安,静安寺,50.6,1,1,1,低楼层,28,1,8000.0
31,康乐大楼(静安),南,静安,南京西路,52.56,2,1,1,中楼层,7,2,7000.0
32,延平小区,东/东南/南,静安,闸北公园,37.76,1,1,1,高楼层,6,3,4000.0
33,光华坊,南,静安,西藏北路,37.22,1,1,1,高楼层,6,1,4500.0
34,新梅共和城,南/西北,静安,大宁,94.28,2,2,1,中楼层,14,3,10200.0
35,芷江中路493弄,东南/南,静安,西藏北路,27.86,1,1,1,低楼层,7,1,5200.0
36,越秀苑,南,静安,不夜城,108.04,2,2,1,低楼层,27,1,10000.0
37,南长小区,南,静安,曹家渡,46.58,1,1,1,高楼层,6,1,7300.0
38,星林苑,南,静安,彭浦,89.39,2,2,1,高楼层,6,1,8800.0
39,世纪时空大厦,东南,静安,静安寺,67.94,1,1,1,中楼层,24,2,13800.0
40,君御豪庭,北,静安,江宁路,62.15,1,2,1,低楼层,27,3,14000.0
41,安乐坊,南,静安,南京西路,33.8,2,1,1,低楼层,2,1,6000.0
42,大宁揽翠艺墅,南,静安,大宁,262.0,5,2,3,低楼层,4,1,21000.0
43,乐业公寓,南,静安,闸北公园,80.85,2,1,1,高楼层,20,3,7000.0
44,康平小区,南,静安,彭浦,72.21,2,1,1,中楼层,14,2,6300.0
45,静安豪景苑,南,静安,江宁路,71.46,1,1,1,中楼层,18,2,15000.0
46,场中路2401弄,南,静安,彭浦,38.08,1,1,1,高楼层,6,2,3900.0
47,临汾花园,南,静安,彭浦,50.87,1,1,1,中楼层,6,3,4500.0
48,南星小区,西北,静安,西藏北路,65.9,1,1,1,中楼层,20,2,10800.0
49,北宝兴路10弄,北,静安,闸北公园,31.71,1,1,1,中楼层,6,1,3900.0
50,象山小区,南,静安,西藏北路,36.0,1,1,1,中楼层,6,4,4300.0
51,精文城上城,南/北,静安,西藏北路,114.46,2,2,1,低楼层,15,3,11000.0
52,中行小区,西北,静安,曹家渡,27.31,1,0,1,中楼层,4,2,4300.0
53,延长中路451弄,南,静安,大宁,30.98,1,0,1,中楼层,6,1,4500.0
54,大宁新村,南,静安,大宁,50.83,1,1,1,高楼层,6,2,5600.0
55,长乐路638弄,北,静安,静安寺,20.0,1,1,1,低楼层,3,4,3800.0
56,场中路1310弄,南/北,静安,彭浦,53.0,2,1,1,高楼层,6,3,4800.0
57,延铁小区,南,静安,大宁,35.24,1,1,1,高楼层,6,2,4300.0
58,浦联佳苑,南,静安,阳城,73.0,2,1,1,低楼层,14,3,6500.0
59,象山小区,南,静安,西藏北路,32.7,1,1,1,中楼层,6,4,4800.0
60,柳营路319弄,南,静安,闸北公园,42.21,2,1,1,高楼层,6,2,5500.0
61,三兴大楼,东,静安,不夜城,49.55,1,1,1,中楼层,24,1,5200.0
62,翔前小区,南,静安,永和,72.55,2,1,1,中楼层,6,1,5000.0
63,武定坊,南,静安,江宁路,67.78,2,1,1,中楼层,5,1,13000.0
64,锦福公寓,南,静安,不夜城,89.4,2,1,1,低楼层,18,2,7800.0
65,盛源家豪城,南,静安,大宁,75.46,1,2,1,高楼层,27,1,8600.0
66,三和花园,南,静安,曹家渡,102.98,2,1,2,中楼层,18,4,12000.0
67,太阳公寓(静安),东,静安,南京西路,12.0,1,0,1,低楼层,4,1,2600.0
68,达安锦园,南,静安,江宁路,103.73,2,2,2,高楼层,25,2,18000.0
69,静安长华公寓,东南,静安,曹家渡,145.54,2,2,2,中楼层,24,2,11800.0
70,延长小区(闸北),南,静安,大宁,50.78,1,1,1,中楼层,5,3,6000.0
71,上工新村,南,静安,大宁,47.7,2,1,1,中楼层,5,1,6600.0
72,王家宅路80号,南,静安,西藏北路,43.01,1,1,1,中楼层,6,2,5000.0
73,绿色丽园,南,静安,大宁,87.06,2,1,1,低楼层,14,2,8600.0
74,凯鹏国际大厦,南,静安,西藏北路,115.72,3,2,1,中楼层,25,3,11000.0
75,歌林春天馨园,南/北,静安,大宁,118.72,3,2,1,高楼层,6,1,12000.0
76,航鹰小区,南,静安,彭浦,40.0,1,1,1,高楼层,5,2,4000.0
77,慧芝湖花园（一二期）,南,静安,大宁,88.22,2,2,1,中楼层,28,5,11000.0
78,永和教师苑,南,静安,永和,64.8,2,1,1,中楼层,6,1,5300.0
79,宝昌路610弄,北,静安,西藏北路,17.82,1,0,1,高楼层,7,1,3500.0
80,艾格美国际公寓,南,静安,南京西路,100.69,2,1,1,中楼层,33,4,19000.0
81,星纪花苑,南,静安,彭浦,77.15,2,1,1,低楼层,15,1,5200.0
82,万荣小区,南,静安,阳城,44.09,1,1,1,中楼层,6,4,4500.0
83,太阳公寓(静安),南,静安,南京西路,14.2,1,1,1,低楼层,1,3,7800.0
84,洛川东路400弄,北,静安,闸北公园,29.84,1,0,1,中楼层,7,1,3800.0
85,岭南路270弄,南,静安,彭浦,33.58,1,1,1,高楼层,6,1,4000.0
