小区,朝向,行政区,街区,房屋面积,卧室,客厅,厕所,楼层相对位置,楼层,发布时长,每月租金,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量,房屋类型,是否朝南
汇成桂苑,南,徐汇,斜土路,90.56,2,2,1,高楼层,7,4,12000,121.4654268,31.20602243,1,1,2,87,0,4,4,1
中粮天悦壹号,南/西南,静安,西藏北路,223.47,4,2,3,高楼层,26,3,65000,121.4811239,31.24903537,1,1,14,86,2,3,4,1
卓越时代广场,南,宝山,共康,60.06,1,1,1,高楼层,19,4,4700,121.4420764,31.34459497,1,1,1,96,5,2,4,1
博山小区,南,浦东,洋泾,54.87,1,2,1,高楼层,25,1,5200,121.562591,31.252661,2,1,3,89,2,2,4,1
宜达新居,南,青浦,夏阳,120.91,3,2,2,低楼层,6,6,6000,121.1555885,31.16911348,1,1,1,71,0,0,4,1
共和新路2203弄,南/北,静安,大宁,41,1,1,1,低楼层,3,8,4800,121.4592223,31.28346141,1,1,4,79,2,10,4,1
潍坊八村,南,浦东,潍坊,49.54,2,1,1,高楼层,6,1,6600,121.5349701,31.22551944,1,1,4,93,3,0,4,1
大家源新城,南,长宁,中山公园,95.23,2,2,1,中楼层,31,3,12000,121.4188053,31.22773814,2,1,6,89,6,8,4,1
万科海上传奇,南/北,浦东,御桥,147.35,4,2,2,低楼层,25,6,16500,121.574206,31.165749,1,1,4,81,0,1,4,1
海逸公寓,南,长宁,天山,123.42,3,2,1,高楼层,18,7,14000,121.3906642,31.22204168,1,1,3,93,3,3,4,1
新天地荻泾花园,南/北,宝山,顾村,92.21,3,2,1,中楼层,16,6,5500,121.3921299,31.36012562,3,1,0,75,0,0,4,1
乐怡苑(奉贤),南,奉贤,柘林,95.56,2,2,1,低楼层,6,1,2100,121.4808975,30.84159088,3,1,0,71,0,0,4,1
星河世纪广场,南,普陀,真如,51,1,1,1,中楼层,27,1,6400,121.4010948,31.26586306,2,1,1,85,2,3,4,1
锦明大厦,南/西南,长宁,虹桥,154,2,2,2,高楼层,28,6,15500,121.4132888,31.20983126,2,1,13,111,1,7,4,1
吉富绅花园,南,青浦,夏阳,88.9,2,1,1,中楼层,18,1,4000,121.141777,31.15954456,3,1,1,69,2,2,4,1
上泰花苑,南,浦东,金杨,96.22,3,2,1,高楼层,6,2,9800,121.5699261,31.25247863,1,1,3,97,2,2,4,1
中海瀛台,南,徐汇,华泾,106.04,2,2,1,中楼层,31,2,11000,121.4594374,31.14733558,2,1,1,103,0,0,4,1
罗安苑,南,宝山,罗店,64,2,1,1,中楼层,18,1,3000,121.356443,31.39382692,2,1,2,38,0,0,4,1
天乐新村,南/北,松江,松江新城,63,2,1,1,高楼层,6,1,3200,121.2424775,31.02887752,2,1,1,95,1,0,4,1
海天公寓,南,徐汇,徐家汇,67.34,2,1,1,高楼层,18,1,8500,121.4481427,31.19776945,2,1,22,90,3,9,4,1
阳城贵都,南,静安,阳城,85,2,2,1,低楼层,12,1,7500,121.4325346,31.29071126,1,1,3,78,2,2,4,1
马赛花园,南,长宁,古北,124.14,2,1,1,高楼层,11,7,16000,121.402917,31.20116287,1,1,3,91,2,7,4,1
淮海坊,东/东南,黄浦,淮海中路,35,2,1,1,高楼层,3,9,8900,121.4671475,31.22264131,1,1,11,92,10,17,4,0
