,行政区,街区,小区,经度,纬度
126,浦东,川沙,北城小区,"121.707652,31.203834",27.90273546
2006,青浦,徐泾,虹桥正荣府,"121.288664,31.163457",30.82794549
2224,浦东,川沙,新德公寓(浦东),"121.694744,31.201568",31.15444355
2452,嘉定,安亭,万科西郊都会,"121.201333,31.279108",35.55474689
128,青浦,赵巷,崧雅路77弄,"121.159964,31.165586",25.15372224
1127,浦东,张江,华发四季,"121.629622,31.178413",32.27920763
179,浦东,洋泾,西镇小区(浦东),"121.556307,31.248126",38.75739375
1501,浦东,张江,孙桥花苑,"121.636111,31.184735",31.09098873
1066,浦东,张江,阳光花城,"121.629665,31.214497",23.41083443
801,浦东,惠南,惠益新苑,"121.745317,31.065675",23.11657174
2206,浦东,川沙,心圆西苑,"121.696447,31.178384",38.05708559
561,浦东,金杨,罗山二村,"121.563501,31.259508",32.20915045
1986,浦东,金杨,罗山六村,114.5195299,32.20915045
1606,浦东,周浦,明天华城,115.6323658,24.06855845
102,长宁,镇宁路,镇宁路465弄,115.6556854,24.95809355
1118,长宁,镇宁路,镇宁路405弄,115.6556854,24.95809355
1471,长宁,镇宁路,泰安路125弄,115.6556854,24.95809355
2505,长宁,镇宁路,江苏路499弄,115.6556854,24.95809355
3068,长宁,镇宁路,愚园路750弄,115.6556854,24.95809355
1516,青浦,赵巷,臻水岸苑,116.2680536,40.1374352
544,浦东,张江,万科翡翠公园（住宅）,116.3177213,40.07558875
2650,青浦,赵巷,万科锦源(公寓),116.3177213,40.07558875
3040,浦东,唐镇,绿城玉兰花园(二期),116.321323,40.15739621
2885,浦东,唐镇,浦发罗兰翡丽,116.3630511,39.89491963
72,浦东,世博,德州四村,116.3655567,37.44130845
1513,浦东,张江,万科翡翠公园（商用）,116.4353859,40.11265658
1760,浦东,唐镇,保利御樽苑(公寓),116.5077648,40.17553814
1918,浦东,张江,中芯花园199弄,116.5132339,39.77010932
2759,浦东,张江,中芯花园18弄,116.5132339,39.77010932
1550,浦东,川沙,鼎鑫名流世家,116.5591019,40.07712325
3177,浦东,三林,未来域,116.5978583,39.92724052
2838,青浦,赵巷,金地佘山天境(公寓),116.6426528,39.91393292
664,青浦,赵巷,新华联奥莱悦府,116.6494818,39.89664454
2385,浦东,联洋,九间堂,116.688212,39.93146407
850,浦东,世博,德州二村,116.9447929,37.80560178
1269,嘉定,安亭,旭辉,117.0847285,40.16542352
3090,浦东,北蔡,华安公寓(浦东),117.5405856,25.01006773
446,浦东,川沙,东都小区,117.7286656,35.8492452
1071,浦东,航头,长泰东郊御园(公寓),117.7655526,24.63124363
3,浦东,洋泾,博山小区,117.9651704,36.35476968
1907,浦东,洋泾,名门河滨花园,118.2822715,33.97927199
2168,浦东,惠南,彩虹雅苑,118.7336764,32.12339045
1079,浦东,潍坊,朱家滩小区,119.1683779,36.71265155
1428,浦东,潍坊,新光大楼,119.1683779,36.71265155
1624,浦东,潍坊,繁荣昌盛,119.1683779,36.71265155
223,浦东,张江,川杨新苑(二期),119.3736386,32.38131175
288,浦东,张江,川杨新苑(三期),119.3736386,32.38131175
1168,浦东,张江,川杨新苑(四期),119.3736386,32.38131175
492,浦东,潍坊,泉东小区,119.412945,36.85872191
2948,浦东,惠南,丽水雅苑,119.863506,28.42087199
2291,浦东,高行,浦江东旭公寓(669弄1-109号),120.0589538,29.5177972
