,行政区,街区,小区,经度,纬度,,,
2062,崇明,长兴岛,前卫新村,121.728297,31.393504,,,
1727,崇明,崇明新城,海岛星城,121.444145,31.632771,,,
2383,崇明,陈家镇,裕鸿佳苑(裕政路725弄),121.8585111,31.53016523,,,
220,崇明,陈家镇,裕鸿佳苑(安寓路100弄),121.859753,31.5295989,,,
3148,崇明,陈家镇,裕鸿佳苑(安通路151弄),121.8532181,31.52590871,,,
2718,宝山,罗泾,雍和府,121.345885,31.48693195,,,
3130,宝山,罗泾,中建阅澜山,121.3513941,31.44501359,,,
1484,宝山,罗泾,招商主城,121.346053,31.44430887,,,
2162,宝山,罗泾,万科启宸,121.343902,31.44312601,,,
366,宝山,罗泾,云麓之城,121.344112,31.43489954,,,
1815,宝山,月浦,阳光美林,121.4168789,31.43225102,,,
2408,宝山,月浦,月浦四村,121.4347901,31.42466637,,,
2165,嘉定,菊园新区,慈竹路1088弄,121.213191,31.42412689,,,
2221,宝山,月浦,沈巷新村,121.4178635,31.42401026,,,
1656,宝山,月浦,月浦七村,121.4297363,31.42275302,,,
2562,宝山,月浦,月浦八村,121.4318732,31.42160178,,,
3029,宝山,月浦,月浦九村,121.4297759,31.42156357,,,
2804,嘉定,徐行,绿洲香润苑,121.2907584,31.42145857,,,
1133,嘉定,徐行,首创旭辉城,121.20672,31.41990293,,,
2636,宝山,罗店,金辉兰湖美域,121.358844,31.41787886,,,
2227,宝山,月浦,乐业一村,121.4408977,31.41728418,,,
1519,宝山,月浦,德都路268弄,121.4308602,31.41695429,,,
2772,宝山,罗店,上置香岛原墅(别墅),121.3661703,31.41655413,,,
59,宝山,罗店,华润卓越玲珑悦府,121.380935,31.41577562,,,
650,宝山,月浦,德都路165弄,121.433208,31.41574457,,,
2617,宝山,淞宝,宝林八村,121.501729,31.41272992,,,
726,宝山,杨行,宝地绿洲城,121.46963,31.41201987,,,
1991,宝山,罗店,朗诗绿岛(公寓),121.355432,31.41133887,,,
2465,宝山,罗店,顺驰美兰湖,121.362509,31.41132954,,,
1791,宝山,淞宝,宝钢一村,121.4939604,31.41068066,,,
702,宝山,罗店,远洋7号,121.3538052,31.41060014,,,
2174,宝山,月浦,新月福邸,121.4388289,31.41053596,,,
2303,宝山,淞宝,宝钢七村,121.496563,31.41027947,,,
2264,宝山,淞宝,宝钢二村,121.4907881,31.40981326,,,
2496,宝山,罗店,保翔苑,121.3465767,31.40862164,,,
1768,嘉定,徐行,天居玲珑湾,121.213274,31.40832392,,,
165,宝山,罗店,上置美兰优湖,121.357908,31.40822306,,,
2183,宝山,淞宝,宝林六村,121.503347,31.40746251,,,
1590,宝山,罗店,美罗家园吉翔苑,121.347422,31.40709136,,,
2673,宝山,罗店,美罗家园佳翔苑,121.3439661,31.40685282,,,
861,宝山,淞宝,宝林二村,121.4941855,31.40653591,,,
3078,宝山,罗店,中集金地美兰城,121.3547773,31.40615081,,,
3092,宝山,罗店,美罗家园润苑,121.340705,31.405784,,,
995,宝山,杨行,万业紫辰苑,121.444699,31.40566208,,,
2327,嘉定,菊园新区,新城枫景,121.2665704,31.4043586,,,
2751,嘉定,菊园新区,秋竹坊,121.2632237,31.40411465,,,
1344,宝山,淞宝,宝山九村,121.5038151,31.40394691,,,
1601,宝山,杨行,远洋香奈,121.436004,31.40135607,,,
1329,宝山,罗店,年吉路220弄,121.3623043,31.40113762,,,
269,嘉定,菊园新区,嘉邦小区,121.2595044,31.40073543,,,
2368,宝山,罗店,金丰苑二居,121.3410422,31.39971664,,,
307,宝山,淞宝,宝钢三村,121.5024084,31.39881292,,,
1569,嘉定,菊园新区,嘉宝梦之月华庭,121.239425,31.3842,,,
2329,嘉定,菊园新区,嘉宝梦之湾(公寓),121.232628,31.38754,,,
503,宝山,杨行,海德花园,121.4293443,31.39740971,,,
697,嘉定,菊园新区,日月光伯爵公馆,121.245113,31.39714186,,,
2647,宝山,杨行,招商海德名门,121.4260188,31.3970084,,,
2411,嘉定,嘉定老城,李园一村,121.261343,31.39666687,,,
2986,嘉定,菊园新区,嘉定蔷薇苑,121.2281696,31.3957817,,,
3126,宝山,罗店,美罗家园罗翔苑,121.357181,31.3951559,,,
783,宝山,罗店,富秀苑,121.3700069,31.39508624,,,
2915,宝山,罗店,美罗家园宝欣苑一村,121.345793,31.39492387,,,
839,宝山,杨行,丽景翠庭,121.4372148,31.39483926,,,
2846,宝山,淞宝,海江新村,121.5117988,31.39444718,,,
41,嘉定,嘉定老城,桃园小区(嘉定),121.249831,31.393998,,,
17,宝山,罗店,罗安苑,121.356443,31.39382692,,,
2145,宝山,罗店,美罗家园罗安苑,121.356443,31.39382692,,,
2414,宝山,罗店,美罗家园宝欣苑二村,121.3458891,31.39299924,,,
1751,宝山,罗店,罗智路258弄,121.3509374,31.39284508,,,
321,宝山,罗店,美罗家园蓉庭,121.3606318,31.39120859,,,
1757,宝山,罗店,美罗家园宝欣苑七村,121.3462902,31.39084139,,,
2120,宝山,罗店,罗南一村,121.3681865,31.39012138,,,
1245,宝山,罗店,美罗家园宝欣苑八村,121.3470154,31.38941409,,,
888,嘉定,嘉定老城,浦发香舍(别墅),121.248289,31.371719,,,
3051,嘉定,嘉定老城,塔城路800弄,121.244798,31.379084,,,
3016,宝山,淞宝,海滨八村,121.5052383,31.3876728,,,
2188,宝山,淞宝,海滨三村,121.500488,31.38730897,,,
1353,嘉定,菊园新区,合景叠翠峰苑,121.2285661,31.38695817,,,
2976,嘉定,菊园新区,福莱锦苑,121.2173807,31.38583215,,,
1378,嘉定,嘉定老城,小囡桥小区,121.252073,31.38535016,,,
386,宝山,杨行,同盛嘉园,121.44134,31.3845179,,,
1039,嘉定,菊园新区,新城悠活城,121.2354081,31.38438427,,,
3131,宝山,淞宝,海滨新村,121.499572,31.38265691,,,
2952,嘉定,新成路,嘉源小区,121.2757337,31.38236751,,,
2798,嘉定,菊园新区,柳梁路55弄,121.234245,31.38223534,,,
987,嘉定,菊园新区,路劲悦茂府,121.2362044,31.38172004,,,
2677,宝山,淞宝,淞滨路77弄,121.5052359,31.38071952,,,
1213,宝山,杨行,宏宝公寓,121.4382557,31.37817295,,,
1988,嘉定,嘉定老城,嘉丰佳苑,121.2426687,31.37805371,,,
1030,宝山,杨行,杨鑫佳苑,121.4537166,31.37771459,,,
1611,宝山,杨行,宝虹水岸景苑,121.4409535,31.37733369,,,
1046,宝山,杨行,宝启花园(公寓),121.439279,31.37657389,,,
2721,宝山,杨行,杨泰二村,121.4477618,31.37598434,,,
1828,嘉定,菊园新区,魔方社区,121.2345778,31.37594765,,,
3160,嘉定,菊园新区,慈竹路69弄,121.226212,31.37511492,,,
1212,宝山,淞宝,宝林枫景苑,121.4939468,31.3748894,,,
3169,宝山,淞宝,泗东新村,121.4915224,31.37405226,,,
2917,宝山,杨行,杨泰公寓,121.4433906,31.37394274,,,
2638,宝山,顾村,馨佳园(韶山路418弄),121.3730115,31.37138235,,,
