行政区,街区,小区,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量
崇明,长兴岛,前卫新村,121.728297,31.393504,162,152,0,26,1,1
崇明,崇明新城,海岛星城,121.444145,31.632771,1001,168,0,13,0,0
崇明,陈家镇,裕鸿佳苑(裕政路725弄),121.8585111,31.53016523,944,397,0,14,0,0
崇明,陈家镇,裕鸿佳苑(安寓路100弄),121.859753,31.5295989,823,502,0,12,0,0
崇明,陈家镇,裕鸿佳苑(安通路151弄),121.8532181,31.52590871,1001,192,0,13,0,0
宝山,罗泾,雍和府,121.345885,31.48693195,1001,162,0,59,1,0
宝山,罗泾,中建阅澜山,121.3513941,31.44501359,1001,876,0,52,0,0
宝山,罗泾,招商主城,121.346053,31.44430887,1001,364,0,85,0,0
宝山,罗泾,万科启宸,121.343902,31.44312601,1001,152,0,97,0,0
宝山,罗泾,云麓之城,121.344112,31.43489954,1001,76,0,89,1,0
宝山,月浦,阳光美林,121.4168789,31.43225102,1001,152,0,64,0,0
宝山,月浦,月浦四村,121.4347901,31.42466637,1001,83,1,89,1,1
嘉定,菊园新区,慈竹路1088弄,121.213191,31.42412689,1001,273,1,95,0,0
宝山,月浦,沈巷新村,121.4178635,31.42401026,1001,142,0,111,0,0
宝山,月浦,月浦七村,121.4297363,31.42275302,1001,76,1,106,1,1
宝山,月浦,月浦八村,121.4318732,31.42160178,1001,177,1,107,1,1
宝山,月浦,月浦九村,121.4297759,31.42156357,1001,146,1,107,1,1
嘉定,徐行,绿洲香润苑,121.2907584,31.42145857,1001,182,0,36,0,0
嘉定,徐行,首创旭辉城,121.20672,31.41990293,1001,355,1,71,0,0
宝山,罗店,金辉兰湖美域,121.358844,31.41787886,1001,159,1,84,1,3
宝山,月浦,乐业一村,121.4408977,31.41728418,609,167,0,53,1,2
宝山,月浦,德都路268弄,121.4308602,31.41695429,1001,101,1,108,1,2
宝山,罗店,上置香岛原墅(别墅),121.3661703,31.41655413,1001,130,0,90,0,2
宝山,罗店,华润卓越玲珑悦府,121.380935,31.41577562,1001,916,0,83,0,0
宝山,月浦,德都路165弄,121.433208,31.41574457,1001,160,1,107,1,2
宝山,淞宝,宝林八村,121.501729,31.41272992,1001,210,1,86,3,5
宝山,杨行,宝地绿洲城,121.46963,31.41201987,312,18,0,94,0,2
宝山,罗店,朗诗绿岛(公寓),121.355432,31.41133887,398,256,1,89,0,8
宝山,罗店,顺驰美兰湖,121.362509,31.41132954,694,152,0,80,1,1
宝山,淞宝,宝钢一村,121.4939604,31.41068066,1001,137,4,90,3,5
宝山,罗店,远洋7号,121.3538052,31.41060014,393,192,1,92,0,1
宝山,月浦,新月福邸,121.4388289,31.41053596,814,218,1,69,0,2
宝山,淞宝,宝钢七村,121.496563,31.41027947,1001,172,4,94,3,5
宝山,淞宝,宝钢二村,121.4907881,31.40981326,797,147,4,86,1,5
宝山,罗店,保翔苑,121.3465767,31.40862164,938,179,0,106,0,1
嘉定,徐行,天居玲珑湾,121.213274,31.40832392,1001,143,0,49,0,0
宝山,罗店,上置美兰优湖,121.357908,31.40822306,146,49,0,77,1,1
宝山,淞宝,宝林六村,121.503347,31.40746251,1001,68,2,92,3,2
宝山,罗店,美罗家园吉翔苑,121.347422,31.40709136,858,240,0,95,0,0
宝山,罗店,美罗家园佳翔苑,121.3439661,31.40685282,1001,137,0,30,0,0
宝山,淞宝,宝林二村,121.4941855,31.40653591,965,133,7,62,1,6
宝山,罗店,中集金地美兰城,121.3547773,31.40615081,245,257,0,79,0,0
宝山,罗店,美罗家园润苑,121.340705,31.405784,1001,131,0,17,0,0
宝山,杨行,万业紫辰苑,121.444699,31.40566208,927,122,0,78,1,0
嘉定,菊园新区,新城枫景,121.2665704,31.4043586,790,149,0,88,3,0
嘉定,菊园新区,秋竹坊,121.2632237,31.40411465,1001,124,1,74,7,0
宝山,淞宝,宝山九村,121.5038151,31.40394691,1001,42,3,94,0,2
宝山,杨行,远洋香奈,121.436004,31.40135607,561,249,1,54,1,0
宝山,罗店,年吉路220弄,121.3623043,31.40113762,755,311,2,55,1,0
嘉定,菊园新区,嘉邦小区,121.2595044,31.40073543,1001,115,2,73,7,1
宝山,罗店,金丰苑二居,121.3410422,31.39971664,1001,227,1,34,0,0
宝山,淞宝,宝钢三村,121.5024084,31.39881292,1001,193,3,103,1,2
嘉定,菊园新区,嘉宝梦之月华庭,121.239425,31.3842,488,194,0,99,1,3
嘉定,菊园新区,嘉宝梦之湾(公寓),121.232628,31.38754,507,212,0,39,0,2
宝山,杨行,海德花园,121.4293443,31.39740971,207,324,0,62,0,0
嘉定,菊园新区,日月光伯爵公馆,121.245113,31.39714186,108,53,1,58,3,2
宝山,杨行,招商海德名门,121.4260188,31.3970084,510,539,0,62,0,0
嘉定,嘉定老城,李园一村,121.261343,31.39666687,1001,161,4,82,5,3
嘉定,菊园新区,嘉定蔷薇苑,121.2281696,31.3957817,1001,208,0,18,0,1
宝山,罗店,美罗家园罗翔苑,121.357181,31.3951559,655,211,2,46,0,0
宝山,罗店,富秀苑,121.3700069,31.39508624,569,118,1,100,0,0
宝山,罗店,美罗家园宝欣苑一村,121.345793,31.39492387,1001,155,2,38,0,0
宝山,杨行,丽景翠庭,121.4372148,31.39483926,712,166,0,89,0,0
宝山,淞宝,海江新村,121.5117988,31.39444718,1001,202,0,85,1,0
嘉定,嘉定老城,桃园小区(嘉定),121.249831,31.393998,670,71,6,56,5,4
宝山,罗店,罗安苑,121.356443,31.39382692,725,142,2,38,0,0
宝山,罗店,美罗家园罗安苑,121.356443,31.39382692,725,142,2,38,0,0
宝山,罗店,美罗家园宝欣苑二村,121.3458891,31.39299924,1001,141,1,35,0,0
宝山,罗店,罗智路258弄,121.3509374,31.39284508,1001,73,2,22,0,0
宝山,罗店,美罗家园蓉庭,121.3606318,31.39120859,489,194,2,72,0,0
宝山,罗店,美罗家园宝欣苑七村,121.3462902,31.39084139,1001,78,1,26,0,0
宝山,罗店,罗南一村,121.3681865,31.39012138,626,79,1,110,0,0
宝山,罗店,美罗家园宝欣苑八村,121.3470154,31.38941409,1001,151,1,30,0,0
嘉定,嘉定老城,浦发香舍(别墅),121.248289,31.371719,1001,171,0,78,1,1
嘉定,嘉定老城,塔城路800弄,121.244798,31.379084,1001,110,0,99,2,3
宝山,淞宝,海滨八村,121.5052383,31.3876728,1001,178,1,89,2,4
宝山,淞宝,海滨三村,121.500488,31.38730897,549,275,1,89,2,4
嘉定,菊园新区,合景叠翠峰苑,121.2285661,31.38695817,691,139,0,29,0,1
嘉定,菊园新区,福莱锦苑,121.2173807,31.38583215,1001,190,0,9,0,0
嘉定,嘉定老城,小囡桥小区,121.252073,31.38535016,1001,152,4,92,5,2
宝山,杨行,同盛嘉园,121.44134,31.3845179,733,238,1,97,0,0
嘉定,菊园新区,新城悠活城,121.2354081,31.38438427,159,143,0,84,1,3
宝山,淞宝,海滨新村,121.499572,31.38265691,639,233,1,88,1,4
嘉定,新成路,嘉源小区,121.2757337,31.38236751,1001,184,1,76,0,1
嘉定,菊园新区,柳梁路55弄,121.234245,31.38223534,112,76,0,78,0,3
